donor_real_conc	run	donor	donor_conc
20	90	NIC	3
80	90	THY	1
40	90	THY	2
20	90	THY	3
10	90	ZIL	1
5	90	ZIL	2
2.5	90	ZIL	3
80	91	CAF	1
40	91	CAF	2
20	91	CAF	3
1%	91	PHE	1
0.50%	91	PHE	2
0.25%	91	PHE	3
36	91	MPD	1
18	91	MPD	2
9	91	MPD	3
80	91	NIC	1
40	91	NIC	2
20	91	NIC	3
80	91	THY	1
40	91	THY	2
20	91	THY	3
20	92	ATO	1
10	92	ATO	2
5	92	ATO	3
0.08	92	CIL	1
0.04	92	CIL	2
0.02	92	CIL	3
1	92	CPR	1
0.5	92	CPR	2
0.25	92	CPR	3
7	92	ENT	1
3.5	92	ENT	2
1.75	92	ENT	3
0.004	92	EST	1
0.002	92	EST	2
0.001	92	EST	3
1	92	MON	1
0.5	92	MON	2
0.25	92	MON	3
15	95	LOR	1
7.5	95	LOR	2
3.75	95	LOR	3
15	95	LOS	1
7.5	95	LOS	2
3.75	95	LOS	3
0.25	95	ADEP	1
0.125	95	ADEP	2
0.0625	95	ADEP	3
1	95	MEC	1
0.5	95	MEC	2
0.25	95	MEC	3
8	95	MTF	1
4	95	MTF	2
2	95	MTF	3
0.168	95	TIR	1
0.084	95	TIR	2
0.042	95	TIR	3
0.125	98	ADEP	1
0.0625	98	ADEP	2
0.03125	98	ADEP	3
8	98	ALF	1
4	98	ALF	2
2	98	ALF	3
1	98	BBM	1
0.5	98	BBM	2
0.25	98	BBM	3
8	98	CEL	1
4	98	CEL	2
2	98	CEL	3
8	98	CLM	1
4	98	CLM	2
2	98	CLM	3
0.02	98	CLO	1
0.01	98	CLO	2
0.005	98	CLO	3
50	99	DFL	1
25	99	DFL	2
12.5	99	DFL	3
2	99	FEL	1
1	99	FEL	2
0.5	99	FEL	3
5.5556	99	GEF	1
2.7778	99	GEF	2
1.3889	99	GEF	3
500	100	NAP	1
250	100	NAP	2
125	100	NAP	3
2	100	VPM	1
1	100	VPM	2
0.5	100	VPM	3
250	100	OXY	1
125	100	OXY	2
62.5	100	OXY	3
250	120	OXY	1
125	120	OXY	2
62.5	120	OXY	3
2	121	VPM	1
1	121	VPM	2
0.5	121	VPM	3
500	121	NAP	1
250	121	NAP	2
125	121	NAP	3
6	121	MSM	1
3	121	MSM	2
1.5	121	MSM	3
